Number,Category,Manufacturer,Series,Color,Size,Flat RCCP,Texture RCCP
97,Tile,Bedrosians,Palazzo Villa Deco,Castle Graphite  ,12X12,456,214
98,Tile,Bedrosians,Palazzo Villa Deco,Vintage Grey  ,12X12,457,214
99,Tile,Bedrosians,Pulpis,Beige   ,12x24,"505, 506",246
100,Tile,Bedrosians,Pulpis,Bianco   ,12x24,"501, 502",244
101,Tile,Bedrosians,Pulpis,Grigio   ,12x24,"503, 504",245
102,Tile,Bedrosians,Pulpis,Puro   ,12x24,"507, 508",247
103,Tile,Bedrosians,Pulpis,Tortora   ,12x24,"497, 498",242
104,Tile,Bedrosians,Pulpis 1x2 Mosiac,Beige   ,12X12,446,205
105,Tile,Bedrosians,Pulpis 1x2 Mosiac,Bianco   ,12X12,444,203
106,Tile,Bedrosians,Pulpis 1x2 Mosiac,Grigio   ,12X12,445,204
107,Tile,Bedrosians,Pulpis 1x2 Mosiac,Puro   ,12X12,448,207
108,Tile,Bedrosians,Pulpis 1x2 Mosiac,Tortora   ,12X12,447,206
109,Tile,Bedrosians,Roma,Almond   ,12x12,570,288
110,Tile,Bedrosians,Roma,Beige   ,12x12,573,291
111,Tile,Bedrosians,Roma,Noce   ,12x12,574,292
112,Tile,Bedrosians,Serenity,Beige   ,18x18,"529, 530",259
113,Tile,Bedrosians,Serenity,Grey   ,18x18,"531, 532",260
114,Tile,Bedrosians,Serenity,White   ,18x18,569,287
115,Tile,Bedrosians,Simply Modern,Crème   ,12x24,"556, 557",277
116,Tile,Bedrosians,Simply Modern,Gray   ,12x24,"554, 555",276
117,Tile,Bedrosians,Simply Modern,Tan   ,12x24,not available with the design center,
118,Tile,Bedrosians,Simply Modern 2x2 Mosaic,Black   ,2x2,-,-
119,Tile,Bedrosians,Simply Modern 2x2 Mosaic,Crème   ,2x2,-,-
120,Tile,Bedrosians,Simply Modern 2x2 Mosaic,Grey   ,2x2,-,-
121,Tile,Bedrosians,Stonefire,Beige   ,12x12,568,286
122,Tile,Bedrosians,Stonefire,Noce   ,12x12,567,285
123,Tile,Bedrosians,Stonefire 2X2 Mosaic,Beige   ,12X12,581,304
124,Tile,Bedrosians,Stonefire 2X2 Mosaic,Grey   ,12X12,580,303
125,Tile,Bedrosians,Stonefire 2X2 Mosaic,Noce   ,12X12,582,305
126,Tile,Bedrosians,Tahoe,Barrel   ,8x40,"542, 543",267
127,Tile,Bedrosians,Tahoe,Glacier   ,8x40,"538, 539",265
